fecha,p10,p25,w_mean,w_median,p75,p90,p99
2013-01-01,2067,3618,7917,5936,9013,14578,40925
2013-02-01,2046,3599,7620,5846,8743,13979,36820
2013-03-01,2117,3703,8080,5899,8862,14306,44570
2013-04-01,2150,3796,7944,6006,9103,14439,39098
2013-05-01,2289,3999,8288,6544,9515,14880,40000
2013-06-01,3013,5550,11860,9436,14047,22099,56427
2013-07-01,2420,4149,8587,6764,10000,15773,39666
2013-08-01,2400,4155,8529,6798,10000,15402,39239
2013-09-01,2428,4176,8695,6847,10102,15727,40954
2013-10-01,2483,4310,8898,6935,10347,16098,41725
2013-11-01,2488,4416,9059,7193,10523,16498,42308
2013-12-01,3331,6206,13451,10740,16040,24987,63191
2014-01-01,2575,4509,10030,7453,11308,18373,52422
2014-02-01,2565,4501,9700,7431,11075,17589,48436
2014-03-01,2669,4681,10389,7629,11499,18360,56252
2014-04-01,2843,5008,10673,8304,12136,18998,53871
2014-05-01,2920,5133,10747,8568,12456,19075,52099
2014-06-01,3781,7124,15403,12303,18315,28278,73178
2014-07-01,3132,5579,11420,9244,13371,20388,52261
2014-08-01,3154,5424,11335,8963,13246,20402,53611
2014-09-01,3156,5527,11823,9379,13681,21074,57596
2014-10-01,3257,5781,12113,9592,14100,21683,58012
2014-11-01,3344,6050,12229,9760,14297,22000,56670
2014-12-01,4437,8300,18168,14410,21617,33880,87343
2015-01-01,3333,5953,13439,9896,15025,25382,71992
2015-02-01,3403,6000,13016,9877,14906,23673,65990
2015-03-01,3431,6092,13696,9947,15046,24320,77194
2015-04-01,3520,6221,13468,10118,15423,24500,68386
2015-05-01,3779,6699,13811,10989,16035,24510,65435
2015-06-01,4933,9353,20779,16345,24257,38487,105000
2015-07-01,4028,7057,15047,12048,17675,27612,68983
2015-08-01,4015,6951,14907,11631,17494,27168,70514
2015-09-01,4179,7247,15409,12345,17992,28002,71905
2015-10-01,4157,7219,15521,11889,18094,28537,74283
2015-11-01,4263,7520,15844,12368,18515,29190,74046
2015-12-01,5839,10821,23801,18692,28476,44619,113362
2016-01-01,4357,7649,17302,12776,19740,32431,89973
2016-02-01,4455,7834,17190,12964,19828,31221,87267
2016-03-01,4573,8050,18029,13325,20000,31728,99422
2016-04-01,4850,8473,18369,14340,20995,32708,92445
2016-05-01,5063,8881,18822,14958,21687,33283,93168
2016-06-01,6810,12494,26988,21810,32358,49549,125478
2016-07-01,5400,9238,19659,15400,23037,35608,93701
2016-08-01,5461,9658,19965,15564,23315,36144,93463
2016-09-01,5486,9594,20150,15587,23511,36803,95065
2016-10-01,5621,10015,20880,16340,24266,38115,99688
2016-11-01,5785,10258,21453,16683,25000,39536,101179
2016-12-01,7690,14480,32001,25000,38626,60000,151017
2017-01-01,5958,10510,23751,17761,27298,44169,122729
2017-02-01,6020,10472,22858,17509,26318,41451,115992
2017-03-01,5994,10665,23931,17754,26922,42602,131407
2017-04-01,6278,10916,23676,18562,27368,42757,116777
2017-05-01,6600,11385,24066,19016,28030,43291,114453
2017-06-01,8500,15971,35104,28029,42175,64981,167010
2017-07-01,6932,12035,25566,20544,29995,46186,118977
2017-08-01,6821,12027,25569,20587,30022,46317,118531
2017-09-01,7000,12107,25811,20702,30240,46808,120000
2017-10-01,6948,12638,26492,21021,30939,48180,124693
2017-11-01,7261,12825,26980,21148,31496,49380,126729
2017-12-01,9559,17929,39532,31263,47204,73815,188188
2018-01-01,7340,13000,29526,22025,33727,55391,153861
2018-02-01,7396,12988,28298,21910,32874,51224,141467
2018-03-01,7462,13235,29768,22227,33462,52449,163977
2018-04-01,7858,13661,29754,23328,34653,53834,147515
2018-05-01,8113,14104,30297,23858,35222,54485,148443
2018-06-01,10526,19731,43440,34973,52075,80296,207010
2018-07-01,8400,14485,31456,24583,36623,56409,152596
2018-08-01,8611,14943,32307,25520,37802,57934,155694
2018-09-01,8741,15345,32921,25587,37701,59042,163417
2018-10-01,8996,16154,34740,27175,39919,62549,171249
2018-11-01,9560,16861,36321,28809,42054,65706,174046
2018-12-01,12659,23583,52867,41432,62844,98250,261012
2019-01-01,9950,17668,40451,30605,45875,74757,209380
2019-02-01,9751,17329,40020,29782,44500,71110,208481
2019-03-01,10050,18313,43662,31294,46799,74593,243219
2019-04-01,10593,19000,43379,31948,47946,75983,222087
2019-05-01,11366,19987,44513,33657,49905,78777,221701
2019-06-01,14765,27943,63204,49219,74141,115865,310067
2019-07-01,11987,20817,46908,35691,53962,84117,229371
2019-08-01,12025,21673,48030,36306,54986,86096,233844
2019-09-01,12746,22742,49752,37770,55853,87421,244424
2019-10-01,13073,23718,53934,39807,60200,96442,269275
2019-11-01,13954,24393,54407,40088,60414,96883,274374
2019-12-01,18550,34210,79279,59636,91254,145868,390303
2020-01-01,15242,26190,61891,44659,67913,113335,318318
2020-02-01,16007,27671,62460,45657,69398,109567,312699
2020-03-01,15702,27946,64191,46676,69356,110307,341628
2020-04-01,15880,26727,59556,45302,67409,105878,291819
2020-05-01,16579,27596,60113,46024,67661,104817,282157
2020-06-01,22366,39711,88180,69298,103014,159313,410197
2020-07-01,17206,29048,64264,48014,71556,113115,310534
2020-08-01,17478,29603,65005,48730,73000,115000,315872
2020-09-01,17881,30423,67946,49904,74885,119036,329488
2020-10-01,18750,32452,72023,53815,79865,127054,349190
2020-11-01,19396,33259,73440,54292,81285,131076,356126
2020-12-01,26113,47090,107981,80867,123538,196500,527972
2021-01-01,20122,34981,83285,58325,89100,149766,439130
2021-02-01,20889,36898,83815,60889,90618,146853,435831
2021-03-01,21600,38576,90032,63386,94043,153168,500844
2021-04-01,22636,40000,90161,65713,98653,159632,465566
2021-05-01,23838,41196,90120,68696,101895,160892,435184
2021-06-01,31280,57578,131593,100798,151946,242085,648324
2021-07-01,25431,43750,98321,72824,112047,176758,483496
2021-08-01,26147,46392,100086,75723,114587,180800,482544
2021-09-01,26280,47294,103745,77678,118331,185559,503449
2021-10-01,28000,49695,108759,79888,123599,198358,534220
2021-11-01,28332,51030,112283,83663,128655,205987,550577
2021-12-01,38522,71723,166642,122859,195000,310422,830707
2022-01-01,30384,53578,128353,90243,140200,231208,698990
2022-02-01,31473,55233,128660,92448,140437,227801,696633
2022-03-01,33143,60000,143225,99508,150638,247414,820600
2022-04-01,35150,62579,143759,104749,159863,256076,765168
2022-05-01,38357,66327,150608,112630,170034,272680,759997
2022-06-01,50621,94162,217820,166623,255804,407065,1086468
2022-07-01,41587,73171,163731,120757,185498,296904,845194
2022-08-01,44775,79560,174078,133629,198377,311635,877248
2022-09-01,47363,84482,186646,142552,210448,333328,938451
2022-10-01,50000,87957,196635,145896,222751,361552,1005869
2022-11-01,52920,94652,211606,156486,241431,389815,1081153
2022-12-01,78811,144398,328004,247850,378772,600709,1644150
2023-01-01,59477,103919,250980,172643,276723,459457,1394396
2023-02-01,62670,109771,257551,182093,284957,460454,1414710
2023-03-01,66568,119827,287991,199849,306220,497629,1674649
2023-04-01,70999,127439,294691,218966,327485,526621,1582043
2023-05-01,79537,139429,311143,238733,354733,551598,1534056
2023-06-01,108436,203528,472859,360000,550073,875285,2422491
2023-07-01,90062,158101,364352,272002,414279,661700,1885648
2023-08-01,104650,188560,402930,313745,459790,702186,1981218
2023-09-01,119100,211198,447748,344826,505581,785613,2191226
2023-10-01,119996,217669,488551,367145,552433,900967,2478281
2023-11-01,130768,239536,543452,406491,613201,1004343,2718415
